MES,ANO,TMAX,TMIN,ETP
1,1990,29.098064516129,21.66,3.25782536930721
2,1990,28.9642857142857,21.2675,3.28884050937518
3,1990,30.2335483870968,21.7041935483871,3.40572373448018
4,1990,29.6193333333333,21.2176666666667,2.99461517955129
5,1990,27.128064516129,16.7993548387097,2.30939481464075
6,1990,27.1473333333333,16513,2.05220885284029
7,1990,25.538064516129,13.4338709677419,1.78561479924494
8,1990,29.5970967741936,17.401935483871,2.3034095688769
9,1990,28911,17.4326666666667,2.63829841113303
10,1990,31.7138709677419,21.7154838709677,3.40467421906163
11,1990,30729,22.1023333333333,3.50910000415282
12,1990,30.3432258064516,22.3135483870968,3.43298410694935
1,1991,29.2609677419355,22.181935483871,3.18151730122653
2,1991,30.2285714285714,22.0214285714286,3.42899482056647
3,1991,29.2490322580645,21.3109677419355,3.1940385147863
4,1991,28.7976666666667,19.7673333333333,2.98321725989303
5,1991,27.988064516129,17.4770967741936,2.55449957434188
6,1991,27.3216666666667,17.0986666666667,2.08170617512723
7,1991,28.0274193548387,15.4377419354839,1.95669009030037
8,1991,31.6306451612903,17.0506451612903,2.3521748724891
9,1991,34.2143333333333,20.4,3.00857849433659
10,1991,33.9261290322581,21.6677419354839,3.54007341940777
11,1991,33.0376666666667,22.7503333333333,3.67639963501915
12,1991,30.5070967741935,22.2287096774194,3.37346544341302
1,1992,31.5954838709677,22.4541935483871,3.75006974527122
2,1992,30.9413793103448,22.1379310344828,3.42324195603635
3,1992,30.5722580645161,21.7461290322581,3.34366737298001
4,1992,30024,20156,3.17314668907603
5,1992,30.9954838709677,19.9103225806452,2.78098785064283
6,1992,32.3073333333333,19.0166666666667,2.33821424535389
7,1992,30.9258064516129,16.9774193548387,1.93980348826543
8,1992,33.6932258064516,18.9522580645161,2.22776874621878
9,1992,31.7903333333333,19.5983333333333,2.69191883308269
10,1992,32.9803225806452,22.2529032258065,3.33244661720229
11,1992,30.7793333333333,21382,3.46965776964879
12,1992,30.3483870967742,22.0061290322581,3.50126863869328
1,1993,30.3403225806452,21.5777419354839,3.49273887996492
2,1993,29.6307142857143,20.9760714285714,3.44051607135402
3,1993,30.5509677419355,21.6041935483871,3.61102998712187
