@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.713871,21.715484,3.404674
30729,22.102333,3.5091
30.343226,22.313548,3.432984
33.926129,21.667742,3.540073
33.037667,22.750333,3.6764
30.507097,22.22871,3.373465
32.980323,22.252903,3.332447
30.779333,21382,3.469658
30.348387,22.006129,3.501269
34.600323,22.591935,3.410115
35.659333,23433,3.928905
31.076774,23.029032,3.427943
36.443548,23.939032,3.36461
33.221667,22.761667,3.623491
30.104839,22.302903,3.262607
35.239677,21.586129,3.256779
33.502667,22.156667,3.639057
31.021935,22.343871,3.500414
34.293226,22.730645,3.056143
30.166667,21.879333,3.093023
30.375806,22.302903,3.32781
35.917742,23.612258,3.104438
33.976667,23356,3.586792
31.370323,22.657742,3.380085
34.489032,22.559677,2.968881
31804,22.821667,3.176178
29.600968,21.944194,3.099056
36.285484,23.006452,2.885359
31821,20.970667,3.068919
32.143548,22.847097,3.414131
37.060323,23.232581,2.887254
32.452667,22419,3.08036
30.688065,21.770645,3.272539
33.88,22.025161,2.661412
31.963667,22775,2.921109
29.115161,22.016452,2.925252
36.950323,23.855161,2.797947
34.536667,23.152333,3.079752
31.784516,23.347097,3.199278
33.722258,22.120968,2.479468
33695,22.381667,2.893665
31.379355,23.150645,3.023962
34.786129,22.383548,2.354659
32.799667,22.267667,2.770139
32.120645,22.275806,3.20009
35.800323,23.584194,2.494071
33.382333,23.494333,2.688952
30.687419,22.437097,2.820341
34.14,23.40871,2.366279
32.664667,22.452667,2.614481
29.951935,22.718387,2.692516
36.388387,23.911935,2.334641
31468,22.86,2.370973
30.609032,22.126452,2.779092
34.789032,22.931935,2.284004
34399,23742,2.557115
32.931935,22.714839,2.900908
34.526129,23.178065,2.228024
31638,23454,2.236235
29.563548,22.546774,2.372585
34.677419,21.931613,2.229435
32364,21675,2.2755
30.853871,22.257419,2.53724
33.294516,22.323226,2.138891
35.122667,22.090667,2.365238
33.26,23.004516,2.684383
37.789355,24.792581,2.397879
